regla,tipo,severidad,canton,objeto,detalle,implicacion,base_contraste
R2b,indeterminacion_del_supuesto,alta,Quito,UIO-CARGA-SB-RV,"Restringe la categoria carga_pesada, productos_quimicos_peligrosos sin umbral numerico verificable de peso o dimension.",El alcance subjetivo depende del criterio del agente en via. Inseguridad juridica medible como riesgo de detencion.,CRE art. 76.3 (tipicidad)
R5,discrecionalidad_sin_criterio,alta,Quito,UIO-CARGA-SB-RV,Excepcion via salvoconducto emitida por AMT sin criterios de resolucion publicados; tasa de negacion observada 58.1%.,Sin criterio reglado no hay control de legalidad ni previsibilidad para planificar rutas.,CRE art. 76.7.l (motivacion); COOTAD art. 566 si media tasa
R6,deficit_de_publicidad,media,Quito,OM-QUITO-147,Norma sin referencia de publicacion oficial verificable (numero o Registro Oficial).,Una norma que el obligado no puede localizar ni citar es inexigible en la practica y no auditable.,Principio de publicidad normativa
R6,deficit_de_publicidad,media,Quito,RES-AMT-CARGA,Norma sin referencia de publicacion oficial verificable (numero o Registro Oficial).,Una norma que el obligado no puede localizar ni citar es inexigible en la practica y no auditable.,Principio de publicidad normativa
R1,reserva_de_ley_sancionadora,alta,Quito,UIO-PICOPLACA,Aplica sancion de tipo multa_porcentaje_sbu sin norma legal de respaldo identificada.,Las contravenciones de transito y sus multas son reserva de ley. Una ordenanza no puede crearlas.,CRE art. 76.3; LOTTTSV; COIP
R3,barrera_absoluta_de_acceso,alta,Guayaquil,GYE-PUENTES-35T,Prohibicion permanente (168 h/semana) sobre un enlace sin alternativa vial.,No es una medida de gestion de trafico sino una supresion de accesibilidad: ningun reprogramado horario la resuelve. Exige prueba de proporcionalidad y medida alternativa.,CRE art. 66.14 (libertad de transito); principio de proporcionalidad
R6,deficit_de_publicidad,media,Guayaquil,ORD-GYE-CIRCULACION,Norma sin referencia de publicacion oficial verificable (numero o Registro Oficial).,Una norma que el obligado no puede localizar ni citar es inexigible en la practica y no auditable.,Principio de publicidad normativa
R2,divergencia_parametrica,alta,Guayaquil,GYE-BOMBERO-AROSEMENA,"Umbral local de 15.0 t sin correspondencia con los parametros nacionales [3.5, 48.0, 60.0].",Un mismo vehiculo cambia de categoria juridica al cruzar el limite cantonal.,AM-MTOP-028-2022 / AM-MTOP-018-2016
R4,posible_exceso_competencial,alta,Guayaquil,GYE-BOMBERO-AROSEMENA,Fija un limite de longitud vehicular (10.0 m) como condicion de acceso.,Pesos y dimensiones es materia reglada a nivel nacional por el MTOP (competencia C08).,AM-MTOP-018-2016; LOTTTSV art. 30.4 (deber de observar disposiciones nacionales)
R2b,indeterminacion_del_supuesto,alta,Guayaquil,GYE-PEDRO-MENENDEZ,Restringe la categoria carga_pesada sin umbral numerico verificable de peso o dimension.,El alcance subjetivo depende del criterio del agente en via. Inseguridad juridica medible como riesgo de detencion.,CRE art. 76.3 (tipicidad)
R6,deficit_de_publicidad,media,Cuenca,ORD-CUE-SERT,Norma sin referencia de publicacion oficial verificable (numero o Registro Oficial).,Una norma que el obligado no puede localizar ni citar es inexigible en la practica y no auditable.,Principio de publicidad normativa
